ID;DAN;LETO;DAN_V_TEDNU;TEDEN;DAN_V_MESECU;DATUM;PRA_DAN;PRA_PRED;PRA_NASL;PRA;BDP1;BDP2;BDP3;URA_VEC;URA_MANJ;MIN_VREDNOST;MAX_VREDNOST;STEVEC;MIN_PRET_TED;MAX_PRET_TED;TEMP_MIN;TEMP_MAX;MIN_VRED_LM1;MAX_VRED_LM1;PMIN_VRED_LM1;PMAX_VRED_LM1;RPMIN_VRED_LM1;RPMAX_VRED_LM1
4439;52;2012;2;8;21;21.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;898411,3066;1439445,98;24;996289,79;1584769,438;-2,6;6,36;894557,208;1491697,812;894619,1309;1504406,6;896896,3056;1508235,935
4440;53;2012;3;8;22;22.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;983019,617;1564090,82;24;1085815;1718978,705;-5,92;9,04;994787,5804;1623696,893;988977,3715;1641010,891;991494,7268;1645187,94
4441;54;2012;4;8;23;23.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;891450,9568;1414144,85;24;965096,7816;1523131,535;-4,84;9,84;937224,0698;1481382,689;925001,4173;1502874,263;927355,9274;1506699,698
4442;55;2012;5;8;24;24.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;849470,1015;1364069,72;24;946521,886;1489945,093;-0,6;17,36;914863,8655;1454198,029;901419,713;1452752,17;903714,198;1456450,023
4443;56;2012;6;8;25;25.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;871945,1248;1300922,47;24;967317,2376;1409220,23;0,36;15,48;956652,7172;1450826,522;941402,0765;1425896,405;943798,3331;1429525,899
4444;57;2012;7;8;26;26.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;814873,5105;1309871,12;24;891799,067;1375855,389;0,26;11,28;880796,034;1415698,075;863725,8197;1385675,14;865924,3581;1389202,254
4445;58;2012;1;9;27;27.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;825685,6758;1523623,04;24;881290,4595;1582314,955;-1,96;8,96;884577,9165;1617599,583;876504,0254;1597090,6;878735,0897;1601155,854
4446;59;2012;2;9;28;28.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;918626,937;1539149,33;24;971537,8083;1556610,183;-3,44;11,12;992703,7434;1642799,486;985210,1382;1615326,945;987717,9044;1619438,618
4447;60;2012;3;9;29;29.02.2012;0;0;0;0;8665;-0,4;-0,2;0;0;959660,9155;1581037,61;24;1014392,584;1614008,608;0,54;18,1;1043219,092;1709754,068;1035016,203;1685910,424;1037650,746;1690201,761
4448;61;2012;4;9;1;1.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;922850,029;1532909,08;24;974376,6272;1545693,211;1,48;15,8;1025968,349;1677420,459;1015906,827;1634321,023;1018492,729;1638481,045
